noc_code,type_english,name_english,type_french,name_french
53100,Inclusion(s),nature site interpreter,Inclusion(s),interprète de site naturel
53100,Inclusion(s),zoo interpreter,Inclusion(s),interprète de jardin zoologique
53110,Inclusion(s),multimedia picture illustrator,Inclusion(s),illustrateur photo multimédia/illustratrice photo multimédia
53110,Inclusion(s),photojournalist,Inclusion(s),photojournaliste
53110,Inclusion(s),police photographer,Inclusion(s),photographe de service policier
53111,Inclusion(s),motion picture projectionist,Inclusion(s),projectionniste
53111,Inclusion(s),projectionist,Inclusion(s),opérateur/opératrice de cinéma
53120,Inclusion(s),performance movement teacher,Inclusion(s),professeur/professeure de mouvements multiarts
53121,Inclusion(s),standardized patient,Inclusion(s),patient simulé/patiente simulée
53123,Inclusion(s),facilities designer,Inclusion(s),concepteur/conceptrice d'installations
53123,Inclusion(s),fashion coordinator,Inclusion(s),coordonnateur/coordonnatrice de mode
53123,Inclusion(s),fashion stylist,Inclusion(s),styliste de mode
53200,Inclusion(s),competitor - gambling,Inclusion(s),compétiteur/compétitrice - jeu d'argent
53200,Inclusion(s),gamer - video games,Inclusion(s),joueur/joueuse - jeux vidéo interactifs
54100,Inclusion(s),lifeguard,Inclusion(s),maître nageur/maître nageuse
54100,Inclusion(s),search and rescue crew member - sports and recreation,Inclusion(s),patrouilleur/patrouilleuse de pistes de ski
54100,Inclusion(s),ski patroller,Inclusion(s),maître baigneur/maître baigneuse
55109,Inclusion(s),deejay (DJ) - turntablist,Inclusion(s),disque-jockey - discothèque
62100,Inclusion(s),sales engineer,Inclusion(s),ingénieur commercial/ingénieure commerciale
62101,Inclusion(s),merchandiser,Inclusion(s),spécialiste des techniques marchandes
62202,Inclusion(s),clockmaker,Inclusion(s),horloger/horlogère
62202,Inclusion(s),gemologist,Inclusion(s),gemmologiste
63102,Inclusion(s),debt counsellor,Inclusion(s),conseiller/conseillère en endettement
63202,Inclusion(s),chocolate maker,Inclusion(s),chocolatier
64321,Inclusion(s),guest service representative - casino,Inclusion(s),représentant/représentante du service à la clientèle - casino
64322,Inclusion(s),zipline guide,Inclusion(s),guide à la tyrolienne
65200,Inclusion(s),banquet captain,Inclusion(s),serveur/serveuse de banquet en chef
